Width,Drop,Cost,ID,prID
1910,3000,177.85,600579,3,
1910,3100,182.77,600593,3,
2010,600,62.05,600136,3,
2010,700,67.22,600155,3,
2010,800,72.39,600174,3,
2010,900,77.56,600193,3,
2010,1000,82.73,600212,3,
2010,1100,87.91,600231,3,
2010,1200,93.08,600250,3,
2010,1300,98.25,600269,3,
2010,1400,103.42,600288,3,
2010,1500,108.6,600307,3,
2010,1600,113.77,600326,3,
2010,1700,118.94,600345,3,
2010,1800,124.11,600364,3,
2010,1900,129.28,600383,3,
2010,2000,134.46,600402,3,
2010,2100,139.63,600421,3,
2010,2200,144.8,600440,3,
2010,2300,149.97,600459,3,
2010,2400,155.15,600478,3,
2010,2500,160.32,600497,3,
2010,2600,165.49,600515,3,
2010,2700,170.66,600532,3,
2010,2800,175.84,600549,3,
2010,2900,181.01,600565,3,
2110,600,64.38,600137,3,
2110,700,69.81,600156,3,
2110,800,75.23,600175,3,
2110,900,80.65,600194,3,
2110,1000,86.07,600213,3,
2110,1100,91.49,600232,3,
2110,1200,96.92,600251,3,
2110,1300,102.34,600270,3,
2110,1400,107.76,600289,3,
2110,1500,113.18,600308,3,
2110,1600,118.6,600327,3,
2110,1700,124.03,600346,3,
2110,1800,129.45,600365,3,
2110,1900,134.87,600384,3,
2110,2000,140.29,600403,3,
2110,2100,145.71,600422,3,
2110,2200,151.14,600441,3,
2110,2300,156.56,600460,3,
2110,2400,161.98,600479,3,
2110,2500,167.4,600498,3,
2110,2600,172.82,600516,3,
2110,2700,178.24,600533,3,
2110,2800,183.67,600550,3,
2210,600,66.72,600138,3,
2210,700,72.4,600157,3,
2210,800,78.07,600176,3,
2210,900,83.74,600195,3,
2210,1000,89.41,600214,3,
2210,1100,95.08,600233,3,
2210,1200,100.75,600252,3,
2210,1300,106.42,600271,3,
2210,1400,112.1,600290,3,
2210,1500,117.77,600309,3,
2210,1600,123.44,600328,3,
2210,1700,129.11,600347,3,
2210,1800,134.78,600366,3,
2210,1900,140.45,600385,3,
2210,2000,146.13,600404,3,
2210,2100,151.8,600423,3,
2210,2200,157.47,600442,3,
2210,2300,163.14,600461,3,
2210,2400,168.81,600480,3,
2210,2500,174.48,600499,3,
2210,2600,180.16,600517,3,
2210,2700,185.83,600534,3,
2310,600,69.06,600139,3,
2310,700,74.98,600158,3,
2310,800,80.91,600177,3,
2310,900,86.83,600196,3,
2310,1000,92.75,600215,3,
2310,1100,98.67,600234,3,
2310,1200,104.59,600253,3,
2310,1300,110.51,600272,3,
2310,1400,116.43,600291,3,
2310,1500,122.35,600310,3,
2310,1600,128.28,600329,3,
2310,1700,134.2,600348,3,
2310,1800,140.12,600367,3,
2310,1900,146.04,600386,3,
2310,2000,151.96,600405,3,
2310,2100,157.88,600424,3,
2310,2200,163.8,600443,3,
2310,2300,169.72,600462,3,
2310,2400,175.65,600481,3,
2310,2500,181.57,600500,3,
2410,600,71.4,600140,3,
2410,700,77.57,600159,3,
2410,800,83.74,600178,3,
2410,900,89.91,600197,3,
2410,1000,96.09,600216,3,
2410,1100,102.26,600235,3,
2410,1200,108.43,600254,3,
2410,1300,114.6,600273,3,
2410,1400,120.77,600292,3,
2410,1500,126.94,600311,3,
2410,1600,133.11,600330,3,
2410,1700,139.28,600349,3,
2410,1800,145.45,600368,3,
2410,1900,151.62,600387,3,
2410,2000,157.79,600406,3,
2410,2100,163.97,600425,3,
2410,2200,170.14,600444,3,
2410,2300,176.31,600463,3,
2410,2400,182.48,600482,3,
