Width,Drop,Cost,ID,prID
2310,1600,91.37,598285,1,
2310,1700,95.59,598304,1,
2310,1800,99.81,598323,1,
2310,1900,104.03,598342,1,
2310,2000,108.25,598361,1,
2310,2100,112.46,598380,1,
2310,2200,116.68,598399,1,
2310,2300,120.9,598418,1,
2310,2400,125.12,598437,1,
2310,2500,129.34,598456,1,
2310,2600,133.56,1992956,1,
2410,600,50.86,598096,1,
2410,700,55.26,598115,1,
2410,800,59.65,598134,1,
2410,900,64.05,598153,1,
2410,1000,68.44,598172,1,
2410,1100,72.84,598191,1,
2410,1200,77.24,598210,1,
2410,1300,81.63,598229,1,
2410,1400,86.03,598248,1,
2410,1500,90.42,598267,1,
2410,1600,94.82,598286,1,
2410,1700,99.21,598305,1,
2410,1800,103.61,598324,1,
2410,1900,108.01,598343,1,
2410,2000,112.4,598362,1,
2410,2100,116.8,598381,1,
2410,2200,121.19,598400,1,
2410,2300,125.59,598419,1,
2410,2400,129.98,598438,1,
2510,600,52.52,1835257,1,
2510,700,57.11,1835258,1,
2510,800,61.67,1835259,1,
2510,900,66.25,1835260,1,
2510,1000,70.81,1835261,1,
2510,1100,75.4,1835262,1,
2510,1200,79.98,1835263,1,
2510,1300,84.54,1835264,1,
2510,1400,89.12,1835265,1,
2510,1500,93.68,1835266,1,
2510,1600,98.27,1835267,1,
2510,1700,102.83,1835268,1,
2510,1800,107.41,1835269,1,
2510,1900,111.99,1835270,1,
2510,2000,116.55,1835271,1,
2510,2100,121.14,1834536,1,
2510,2200,125.7,1835272,1,
2510,2300,130.28,1835273,1,
2510,2400,134.84,1835274,1,
2610,600,54.18,1886954,1,
2610,700,58.96,1886955,1,
2610,800,63.69,1886956,1,
2610,900,68.45,1886957,1,
2610,1000,73.18,1886958,1,
2610,1100,77.96,1886959,1,
2610,1200,82.72,1835330,1,
2610,1300,87.45,1886960,1,
2610,1400,92.21,1886961,1,
2610,1500,96.94,1886962,1,
2610,1600,101.72,1886963,1,
2610,1700,106.45,1886964,1,
2610,1800,111.21,1886965,1,
2610,1900,115.97,1886966,1,
2610,2000,120.7,1886951,1,
2610,2100,125.48,1886967,1,
2610,2200,130.21,1886968,1,
2610,2300,134.97,1886969,1,
2610,2400,139.7,1886970,1,
2710,600,55.84,1886973,1,
2710,700,60.81,1886974,1,
2710,800,65.71,1886975,1,
2710,900,70.65,1886976,1,
2710,1000,75.55,1886977,1,
2710,1100,80.52,1886990,1,
2710,1200,85.46,1835331,1,
2710,1300,90.36,1886978,1,
2710,1400,95.3,1886979,1,
2710,1500,100.2,1886980,1,
2710,1600,105.17,1886981,1,
2710,1700,110.07,1886982,1,
2710,1800,115.01,1886983,1,
2710,1900,119.95,1886984,1,
2710,2000,124.85,1886985,1,
2710,2100,129.82,1886986,1,
2710,2200,134.72,1886987,1,
2710,2300,139.66,1886988,1,
2710,2400,144.56,1886989,1,
2810,600,57.5,3980306,1,
2810,700,62.66,3980307,1,
2810,800,67.73,3980308,1,
2810,900,72.85,3980309,1,
2810,1000,77.92,3980310,1,
2810,1100,83.08,3980311,1,
2810,1200,88.2,3980312,1,
2810,1300,93.27,3980313,1,
2810,1400,98.39,3980314,1,
2810,1500,103.46,3980315,1,
2810,1600,108.62,3980316,1,
2810,1700,113.69,3980317,1,
2810,1800,118.81,3980318,1,
2810,1900,123.93,3980319,1,
2810,2000,129,3980320,1,
2810,2100,134.16,3980321,1,
2810,2200,139.23,3980322,1,
2810,2300,144.35,3980323,1,
2810,2400,149.42,3980324,1,
